candidate,class,precision,recall,f1,support
classblend_56_te_disagreement_STAR_a0p0250,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_STAR_a0p0250,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_STAR_a0p0300,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_STAR_a0p0300,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_STAR_a0p0300,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_GALAXY_a0p0150,GALAXY,0.9907967243226695,0.9602654445268624,0.9752921994059149,377480
classblend_56_te_disagreement_GALAXY_a0p0150,QSO,0.9518713464880552,0.9772073448690917,0.9643729675995351,117143
classblend_56_te_disagreement_GALAXY_a0p0150,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_QSO_a0p0150,GALAXY,0.9907967243226695,0.9602654445268624,0.9752921994059149,377480
classblend_56_te_disagreement_QSO_a0p0150,QSO,0.9518713464880552,0.9772073448690917,0.9643729675995351,117143
classblend_56_te_disagreement_QSO_a0p0150,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_our-classwise-logistic-blender_STAR_a0p0150,GALAXY,0.9907967997900785,0.9602733919677864,0.9752963350109171,377480
classblend_our-classwise-logistic-blender_STAR_a0p0150,QSO,0.9518709462830534,0.9771988082941362,0.9643686052829997,117143
classblend_our-classwise-logistic-blender_STAR_a0p0150,STAR,0.8835766583366215,0.9744934964460132,0.9268107610945044,82724
classblend_realmlp-0_QSO_a0p0050,GALAXY,0.9907966991665915,0.9602627953798877,0.9752908208634962,377480
classblend_realmlp-0_QSO_a0p0050,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_realmlp-0_QSO_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_GALAXY_a0p0200,GALAXY,0.9907966991665915,0.9602627953798877,0.9752908208634962,377480
classblend_56_te_disagreement_GALAXY_a0p0200,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_56_te_disagreement_GALAXY_a0p0200,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_GALAXY_a0p0250,GALAXY,0.9907966991665915,0.9602627953798877,0.9752908208634962,377480
classblend_56_te_disagreement_GALAXY_a0p0250,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_56_te_disagreement_GALAXY_a0p0250,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_QSO_a0p0200,GALAXY,0.9907966991665915,0.9602627953798877,0.9752908208634962,377480
classblend_56_te_disagreement_QSO_a0p0200,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_56_te_disagreement_QSO_a0p0200,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_STAR_a0p0250,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_STAR_a0p0250,QSO,0.9518788614573546,0.9771988082941362,0.9643726674585724,117143
classblend_84_classwise_research_blend_STAR_a0p0250,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_STAR_a0p0300,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_STAR_a0p0300,QSO,0.9518788614573546,0.9771988082941362,0.9643726674585724,117143
classblend_84_classwise_research_blend_STAR_a0p0300,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_STAR_a0p0350,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_STAR_a0p0350,QSO,0.9518788614573546,0.9771988082941362,0.9643726674585724,117143
classblend_84_classwise_research_blend_STAR_a0p0350,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_STAR_a0p0400,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_STAR_a0p0400,QSO,0.9518788614573546,0.9771988082941362,0.9643726674585724,117143
classblend_84_classwise_research_blend_STAR_a0p0400,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0200,GALAXY,0.9907863196936608,0.9603104800254318,0.9753103858349174,377480
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0200,QSO,0.9518555166593217,0.9772073448690917,0.9643648433485253,117143
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0200,STAR,0.8837362275941457,0.9744451428847735,0.9268766636579491,82724
classblend_our-classwise-logistic-blender_GALAXY_a0p0150,GALAXY,0.990794091599882,0.9602733919677864,0.9752950229507139,377480
classblend_our-classwise-logistic-blender_GALAXY_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-classwise-logistic-blender_GALAXY_a0p0150,STAR,0.8835753822546172,0.9744814080557033,0.926804591886594,82724
classblend_our-classwise-logistic-blender_GALAXY_a0p0200,GALAXY,0.990794091599882,0.9602733919677864,0.9752950229507139,377480
classblend_our-classwise-logistic-blender_GALAXY_a0p0200,QSO,0.9518713464880552,0.9772073448690917,0.9643729675995351,117143
classblend_our-classwise-logistic-blender_GALAXY_a0p0200,STAR,0.8835850669706469,0.9744814080557033,0.926809919635774,82724
classblend_our-catboost-realmlp-features_QSO_a0p0050,GALAXY,0.990796674010376,0.960260146232913,0.9752894423173681,377480
classblend_our-catboost-realmlp-features_QSO_a0p0050,QSO,0.9518555166593217,0.9772073448690917,0.9643648433485253,117143
classblend_our-catboost-realmlp-features_QSO_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_GALAXY_a0p0300,GALAXY,0.990796674010376,0.960260146232913,0.9752894423173681,377480
classblend_56_te_disagreement_GALAXY_a0p0300,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_56_te_disagreement_GALAXY_a0p0300,STAR,0.883547605738774,0.9744934964460132,0.9267947781999619,82724
classblend_56_te_disagreement_GALAXY_a0p0350,GALAXY,0.990796674010376,0.960260146232913,0.9752894423173681,377480
classblend_56_te_disagreement_GALAXY_a0p0350,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_56_te_disagreement_GALAXY_a0p0350,STAR,0.883547605738774,0.9744934964460132,0.9267947781999619,82724
